	ModName	FuncName	CodeLine	TotalTime	AvgTime	PctTime	Hits	PctHits	LineText	
1	C:\IG\IG\PRE\FE.frm	Form_Activate	15	0	0	0.00%	0	0.00%	Text1(1) = ""	
2	C:\IG\IG\PRE\FE.frm	Form_Activate	1	0	0	0.00%	0	0.00%	>>Entry Point<<	
3	C:\IG\IG\PRE\FE.frm	Form_Activate	2	0	0	0.00%	0	0.00%	CEscala	
4	C:\IG\IG\PRE\FE.frm	Form_Activate	3	0	0	0.00%	0	0.00%	Picture1.AutoRedraw = True	
5	C:\IG\IG\PRE\FE.frm	Form_Activate	4	0	0	0.00%	0	0.00%	DiMalla	
6	C:\IG\IG\PRE\FE.frm	Form_Activate	5	0	0	0.00%	0	0.00%	For I = 0 To 3	
7	C:\IG\IG\PRE\FE.frm	Form_Activate	6	0	0	0.00%	0	0.00%	Option1(I).Enabled = True	
8	C:\IG\IG\PRE\FE.frm	Form_Activate	7	0	0	0.00%	0	0.00%	Case 0	
9	C:\IG\IG\PRE\FE.frm	Form_Activate	8	0	0	0.00%	0	0.00%	For I = 0 To 3	
10	C:\IG\IG\PRE\FE.frm	Form_Activate	9	0	0	0.00%	0	0.00%	Option1(I).Enabled = True	
11	C:\IG\IG\PRE\FE.frm	Form_Activate	10	0	0	0.00%	0	0.00%	Case Else	
12	C:\IG\IG\PRE\FE.frm	Form_Activate	11	0	0	0.00%	0	0.00%	Option1(Simetria - 1).Enabled = False	
13	C:\IG\IG\PRE\FE.frm	Form_Activate	12	0	0	0.00%	0	0.00%	Option1(Simetria - 1) = False	
14	C:\IG\IG\PRE\FE.frm	Option2_Click	7	0	0	0.00%	0	0.00%	Txi(1, Combo1.ListIndex + 1) = Index	
15	C:\IG\IG\PRE\FE.frm	Form_Activate	14	0	0	0.00%	0	0.00%	Text1(0) = ""	
16	C:\IG\IG\PRE\FE.frm	Command1_Click	7	0	0	0.00%	0	0.00%	Frame4.Visible = False	
17	C:\IG\IG\PRE\FE.frm	Form_Activate	16	0	0	0.00%	0	0.00%	Text2(0) = ""	
18	C:\IG\IG\PRE\FE.frm	Form_Activate	17	0	0	0.00%	0	0.00%	Text2(1) = ""	
19	C:\IG\IG\PRE\FE.frm	Form_Activate	18	0	0	0.00%	0	0.00%	For I = 0 To 3	
20	C:\IG\IG\PRE\FE.frm	Form_Activate	19	0	0	0.00%	0	0.00%	Option1(I) = False	
21	C:\IG\IG\PRE\FE.frm	Form_Activate	20	0	0	0.00%	0	0.00%	For I = 0 To 4	
22	C:\IG\IG\PRE\FE.frm	Form_Activate	21	0	0	0.00%	0	0.00%	Option2(I) = False	
23	C:\IG\IG\PRE\FE.frm	CEscala	1	0	0	0.00%	0	0.00%	>>Entry Point<<	
24	C:\IG\IG\PRE\FE.frm	CEscala	2	0	0	0.00%	0	0.00%	Mediaescala = (EscalaXY * 1.1) / 2	
25	C:\IG\IG\PRE\FE.frm	CEscala	3	0	0	0.00%	0	0.00%	Picture1.ScaleHeight = -2 * Mediaescala	
26	C:\IG\IG\PRE\FE.frm	CEscala	4	0	0	0.00%	0	0.00%	Picture1.ScaleWidth = 2 * Mediaescala	
27	C:\IG\IG\PRE\FE.frm	CEscala	5	0	0	0.00%	0	0.00%	Picture1.ScaleLeft = -Mediaescala + Xl / 2	
28	C:\IG\IG\PRE\FE.frm	CEscala	6	0	0	0.00%	0	0.00%	Picture1.ScaleTop = Yl / 2 + Mediaescala	
29	C:\IG\IG\PRE\FE.frm	Form_Activate	13	0	0	0.00%	0	0.00%	Combo1 = ""	
30	C:\IG\IG\PRE\FE.frm	Combo1_Click	29	0	0	0.00%	0	0.00%	Option2(Txs(1, Combo1.ListIndex + 1)) = True	
31	C:\IG\IG\PRE\FE.frm	Combo1_Click	15	0	0	0.00%	0	0.00%	Picture1.Line (XU(Xs(1, Combo1.ListIndex + 1) + 1), YV(M1))-(XU(Xs(2, Combo1.ListIndex + 1) + 2), YV	
32	C:\IG\IG\PRE\FE.frm	Combo1_Click	16	0	0	0.00%	0	0.00%	Case Option1(3)	
33	C:\IG\IG\PRE\FE.frm	Combo1_Click	17	0	0	0.00%	0	0.00%	Text1(0) = Yd(1, Combo1.ListIndex + 1)	
34	C:\IG\IG\PRE\FE.frm	Combo1_Click	18	0	0	0.00%	0	0.00%	Text1(1) = Yd(2, Combo1.ListIndex + 1)	
35	C:\IG\IG\PRE\FE.frm	Combo1_Click	19	0	0	0.00%	0	0.00%	Picture1.Line (XU(L1), YV(Yd(1, Combo1.ListIndex + 1) + 1))-(XU(L1), YV(Yd(2, Combo1.ListIndex + 1) 	
36	C:\IG\IG\PRE\FE.frm	Combo1_Click	20	0	0	0.00%	0	0.00%	Case Option1(0)	
37	C:\IG\IG\PRE\FE.frm	Combo1_Click	21	0	0	0.00%	0	0.00%	Option2(Txi(1, Combo1.ListIndex + 1)) = True	
38	C:\IG\IG\PRE\FE.frm	Combo1_Click	22	0	0	0.00%	0	0.00%	For I = 0 To 1	
39	C:\IG\IG\PRE\FE.frm	Combo1_Click	23	0	0	0.00%	0	0.00%	Text2(I) = Txi(I + 2, Combo1.ListIndex + 1)	
40	C:\IG\IG\PRE\FE.frm	Combo1_Click	24	0	0	0.00%	0	0.00%	Case Option1(1)	
41	C:\IG\IG\PRE\FE.frm	Combo1_Click	25	0	0	0.00%	0	0.00%	Option2(Tyi(1, Combo1.ListIndex + 1)) = True	
